Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-07-01,2023-07-03,2263,UBER TRIP,Other Travel,10.93,
2023-06-26,2023-06-27,2263,BANFIELD-PET*WPPAYMENT,Other Services,77.90,
2023-06-21,2023-06-21,2263,CAPITAL ONE MOBILE PYMT,Payment/Credit,,25.00
2023-06-16,2023-06-17,2263,UBER   TRIP,Other Travel,16.46,
2023-06-16,2023-06-17,2263,LEMONADE I* LEMONADE I,Insurance,,6.00
2023-06-15,2023-06-15,2263,CAPITAL ONE MOBILE PYMT,Payment/Credit,,200.00
2023-06-13,2023-06-15,2263,DOSANKO,Dining,21.32,
2023-06-13,2023-06-14,2263,WALGREENS #6663,Health Care,18.91,
2023-06-13,2023-06-14,2263,UBER   TRIP,Other Travel,7.77,
2023-06-12,2023-06-13,2263,WAL-MART #2973,Merchandise,67.84,
2023-06-10,2023-06-12,2263,BANFIELD 1109,Professional Services,112.58,
2023-06-05,2023-06-07,2263,AMC 0266 FIREWHEEL 18,Entertainment,5.39,
2023-06-05,2023-06-07,2263,AMC 0266 FIREWHEEL 18,Entertainment,30.29,
2023-06-04,2023-06-06,2263,ROSS STORES #1336,Merchandise,56.24,
2023-06-04,2023-06-05,2263,PANDA EXPRESS #1237,Dining,25.93,
2023-06-04,2023-06-05,2263,WAL-MART #2973,Merchandise,80.61,
2023-06-03,2023-06-05,2263,TST* Kitchen 101,Dining,5.57,
2023-06-03,2023-06-03,2263,AMERICAN  0012452699979,Airfare,500.80,
2023-06-03,2023-06-03,2263,CAPITAL ONE MOBILE PYMT,Payment/Credit,,100.00
2023-05-28,2023-06-01,2263,Returned Mobile ACH Payme,Other,100.00,
2023-06-01,2023-06-01,2263,CAPITAL ONE MOBILE PYMT,Payment/Credit,,972.89
2023-05-28,2023-05-29,2263,CAPITAL ONE MOBILE PYMT,Payment/Credit,,100.00
2023-05-28,2023-05-29,2263,A-KON,Entertainment,76.36,
