id_venta,id_cliente,id_producto,cantidad,fecha
1,139,77,14,3/17/2022
2,82,981,11,3/1/2022
3,91,863,2,3/2/2022
4,99,733,9,3/20/2022
5,76,140,14,3/1/2022
6,263,216,8,3/5/2022
7,39,239,15,3/28/2022
8,180,121,11,3/17/2022
9,46,4,11,3/25/2022
10,40,323,9,3/2/2022
11,134,279,14,3/4/2022
12,130,562,3,3/10/2022
13,258,767,13,3/22/2022
14,247,753,12,3/14/2022
15,35,190,3,3/19/2022
16,90,204,13,3/11/2022
17,215,256,10,3/13/2022
18,17,995,13,3/1/2022
19,128,955,1,3/19/2022
20,36,196,15,3/12/2022
21,238,409,10,3/27/2022
22,199,969,14,3/8/2022
23,173,520,3,3/12/2022
24,151,528,15,3/9/2022
25,159,849,12,3/30/2022
26,110,803,8,3/18/2022
27,266,161,10,3/6/2022
28,162,488,3,3/5/2022
29,48,359,3,3/2/2022
30,215,214,14,3/16/2022
31,23,781,12,3/5/2022
32,26,998,9,3/16/2022
33,283,451,4,3/12/2022
34,244,987,3,3/3/2022
35,253,633,1,3/26/2022
36,257,203,14,3/30/2022
37,265,328,8,3/24/2022
38,123,469,13,3/6/2022
39,260,771,11,3/28/2022
40,236,8,8,3/11/2022
41,272,1,15,3/8/2022
42,73,935,13,3/8/2022
43,138,474,15,3/4/2022
44,150,247,2,3/14/2022
45,278,909,9,3/14/2022
46,1,747,10,3/9/2022
47,276,952,13,3/1/2022
48,273,750,3,3/11/2022
49,218,563,15,3/23/2022
50,1,210,1,3/16/2022
51,206,822,6,3/30/2022
52,96,281,14,3/23/2022
53,135,588,14,3/27/2022
54,138,120,14,3/8/2022
55,256,789,10,3/10/2022
56,98,106,13,3/16/2022
57,161,278,3,3/28/2022
58,219,22,11,3/6/2022
59,123,236,3,3/15/2022
60,123,328,13,3/11/2022
61,284,872,15,3/20/2022
62,147,964,3,3/3/2022
63,13,488,14,3/20/2022
64,10,316,9,3/18/2022
65,172,359,13,3/17/2022
66,6,197,5,3/13/2022
67,126,964,15,3/28/2022
68,63,907,9,3/29/2022
69,222,463,1,3/8/2022
70,6,525,2,3/1/2022
71,126,830,14,3/20/2022
72,188,445,14,3/27/2022
73,228,31,11,3/6/2022
74,195,137,11,3/11/2022
75,142,210,11,3/4/2022
76,181,819,13,3/25/2022
77,112,499,13,3/8/2022
78,246,942,9,3/28/2022
79,62,926,9,3/3/2022
80,86,273,7,3/3/2022
81,222,563,5,3/9/2022
82,249,680,11,3/29/2022
83,53,783,10,3/3/2022
84,103,924,10,3/24/2022
85,78,376,5,3/18/2022
86,292,905,11,3/2/2022
87,38,721,1,3/28/2022
88,247,777,10,3/10/2022
89,282,240,1,3/14/2022
90,235,841,3,3/11/2022
91,151,534,10,3/29/2022
92,235,367,14,3/27/2022
93,124,36,3,3/20/2022
94,39,357,14,3/15/2022
95,152,844,6,3/7/2022
96,50,69,14,3/16/2022
97,80,729,4,3/4/2022
98,64,480,15,3/22/2022
99,204,419,10,3/27/2022
100,244,660,7,3/15/2022
101,15,437,9,3/17/2022
102,164,609,6,3/4/2022
103,278,187,15,3/26/2022
104,294,71,5,3/23/2022
105,18,970,8,3/30/2022
106,178,720,15,3/10/2022
107,185,429,2,3/17/2022
108,59,592,15,3/28/2022
109,268,406,14,3/4/2022
110,251,911,2,3/5/2022
111,166,626,2,3/17/2022
112,200,952,11,3/20/2022
113,281,740,3,3/8/2022
114,105,774,14,3/19/2022
115,182,132,3,3/15/2022
116,148,593,4,3/18/2022
117,52,314,2,3/25/2022
118,183,97,15,3/23/2022
119,274,630,1,3/19/2022
120,267,194,12,3/7/2022
121,37,754,9,3/25/2022
122,100,363,8,3/29/2022
123,232,123,4,3/7/2022
124,92,111,9,3/12/2022
125,125,58,2,3/29/2022
126,221,141,6,3/3/2022
127,251,668,1,3/6/2022
128,191,808,8,3/22/2022
129,78,332,14,3/6/2022
130,263,575,10,3/22/2022
131,211,776,14,3/24/2022
132,88,130,3,3/8/2022
133,293,357,14,3/30/2022
134,8,546,11,3/30/2022
135,239,987,5,3/29/2022
136,114,765,14,3/25/2022
137,185,747,13,3/12/2022
138,189,790,13,3/19/2022
139,247,433,6,3/18/2022
140,285,114,13,3/22/2022
141,171,412,3,3/15/2022
142,191,889,12,3/6/2022
143,189,856,11,3/5/2022
144,67,856,3,3/26/2022
145,260,411,2,3/13/2022
146,280,526,11,3/13/2022
147,127,330,3,3/27/2022
148,265,419,3,3/21/2022
149,228,593,9,3/3/2022
150,178,556,11,3/23/2022
151,249,928,3,3/28/2022
152,81,19,6,3/25/2022
153,196,150,12,3/24/2022
154,210,474,7,3/26/2022
155,97,360,14,3/3/2022
156,68,872,9,3/10/2022
157,75,154,3,3/9/2022
158,17,932,11,3/18/2022
159,72,76,6,3/8/2022
160,69,391,3,3/19/2022
161,265,49,3,3/2/2022
