customer_id,service_id,purchase_amount,purchase_date
89,1,$7137.93,8/24/2022
39,4,$8354.65,5/11/2022
65,5,$4604.92,6/17/2022
88,1,$3789.51,12/21/2022
76,2,$8372.71,6/2/2022
5,5,$4384.84,2/6/2023
58,1,$1711.17,3/12/2023
57,4,$10442.59,5/20/2023
96,2,$3320.12,4/20/2023
60,3,$4094.79,11/21/2022
93,3,$6263.47,5/23/2022
61,2,$5238.89,11/5/2022
72,3,$7997.47,10/30/2022
6,5,$3653.22,6/18/2022
92,2,$9684.90,2/7/2023
31,4,$5546.92,3/26/2023
71,1,$6732.73,3/23/2023
49,3,$10946.21,8/15/2022
53,3,$11009.71,12/14/2022
67,3,$3818.21,1/21/2023
40,4,$9001.80,2/2/2023
17,2,$5224.79,3/8/2023
38,1,$1923.90,4/9/2022
33,5,$9549.80,12/7/2022
81,2,$4124.24,3/16/2023
82,2,$6577.39,7/29/2022
59,3,$7694.28,12/30/2022
3,2,$4280.38,6/25/2023
1,1,$7001.33,3/29/2023
14,1,$8526.24,6/24/2023
41,3,$2166.64,6/15/2023
36,2,$2476.47,4/30/2023
92,3,$7629.24,2/12/2023
65,5,$10132.74,4/4/2022
75,5,$9110.14,7/9/2023
89,3,$6219.66,5/2/2023
93,2,$10183.49,5/12/2022
34,4,$4825.20,3/28/2023
25,1,$3589.96,8/24/2022
79,2,$4506.65,8/20/2022
58,1,$3157.60,6/29/2023
17,3,$2825.02,5/30/2023
58,4,$3946.54,4/16/2022
75,2,$3754.01,12/23/2022
99,5,$5573.97,8/14/2022
17,5,$1131.80,8/6/2022
34,5,$9911.91,12/1/2022
40,5,$7219.71,4/25/2023
73,1,$3608.79,6/27/2023
29,3,$7315.41,6/16/2023
47,3,$10561.57,10/14/2022
43,4,$5419.95,4/21/2023
13,2,$6273.51,6/18/2022
41,3,$2593.73,10/5/2022
72,5,$9833.18,8/18/2022
78,3,$1883.69,10/30/2022
75,1,$10417.21,1/23/2023
27,4,$9493.07,12/4/2022
68,3,$8403.86,12/31/2022
34,4,$2830.20,6/17/2023
75,2,$10232.91,2/25/2023
64,4,$8652.79,9/26/2022
69,3,$4350.52,7/27/2022
5,2,$3551.75,11/9/2022
28,2,$1274.93,4/27/2022
44,5,$5546.09,7/26/2022
