customer_id,service_id,purchase_amount,purchase_date
62,1,$9430.17,8/11/2022
41,4,$8196.72,8/7/2022
31,4,$3985.82,3/31/2023
46,5,$3825.19,1/21/2023
82,1,$5120.36,4/9/2023
36,5,$2703.03,4/17/2023
70,5,$1034.42,4/25/2023
49,1,$10158.45,2/10/2023
88,1,$2140.01,1/23/2023
65,2,$9774.89,12/29/2022
74,1,$10966.30,12/21/2022
81,5,$4640.75,3/23/2023
45,2,$4426.55,1/6/2023
48,3,$8435.97,1/3/2023
93,3,$1410.72,2/21/2023
74,4,$7649.67,10/31/2022
70,3,$10204.84,11/1/2022
4,5,$9884.05,4/1/2023
15,1,$2750.20,3/24/2023
66,2,$5036.84,7/18/2022
69,2,$7752.01,4/16/2022
73,4,$5201.23,4/5/2023
41,5,$4721.87,9/9/2022
68,4,$10669.52,5/28/2022
69,4,$4295.31,5/26/2022
79,5,$3945.68,12/27/2022
12,1,$6385.74,7/20/2022
19,2,$2661.20,9/18/2022
30,5,$10221.77,6/5/2022
22,1,$1051.07,12/5/2022
57,4,$8334.46,8/21/2022
77,1,$5501.84,6/14/2022
29,4,$6507.72,7/6/2023
22,5,$10798.09,6/23/2023
52,2,$3911.74,11/9/2022
40,1,$6225.89,6/28/2023
35,4,$2275.67,2/3/2023
33,1,$8501.39,7/27/2022
83,1,$4842.62,10/7/2022
31,4,$9931.60,6/8/2022
65,1,$3362.62,3/9/2023
99,5,$3505.37,9/7/2022
3,5,$1100.36,6/5/2022
86,3,$8433.64,6/10/2022
63,2,$4063.32,3/30/2023
69,5,$6871.06,5/16/2022
37,3,$2466.26,3/14/2023
61,5,$8334.78,4/17/2022
44,3,$9048.07,4/6/2022
28,2,$6054.04,2/24/2023
33,4,$6521.06,12/8/2022
63,5,$9806.13,3/23/2023
97,5,$3658.31,3/27/2023
91,1,$2062.76,10/11/2022
54,3,$4475.25,6/15/2023
4,3,$10934.21,5/9/2023
18,2,$1938.30,2/24/2023
7,4,$1909.14,5/13/2022
64,3,$10700.88,8/22/2022
28,2,$8500.50,3/21/2023
44,5,$3118.58,4/30/2022
12,4,$6604.93,6/27/2022
18,2,$8430.91,6/18/2023
32,2,$5220.97,5/17/2022
53,4,$5656.31,6/1/2023
5,3,$1800.24,8/24/2022
34,5,$10359.51,4/23/2022
9,5,$7604.59,12/21/2022
71,1,$10339.29,8/10/2022
8,4,$5737.82,9/27/2022
17,5,$6314.93,7/27/2022
90,4,$1980.68,2/8/2023
27,3,$8367.07,1/20/2023
19,3,$3751.86,9/25/2022
73,2,$3995.34,11/25/2022
98,2,$5081.46,9/5/2022
46,1,$5237.27,5/18/2022
30,2,$3041.98,6/4/2022
83,1,$4181.08,5/24/2023
